Additional Info,Address,ArtBridging Section,Arts Focus,Facebook,Languages,Linkedin,Main Catchment Area,Main Communities Served,Main Community-Engaged Arts / Arts for Social Change Activities,Main Contact Email,Main Contact Name,Mandate/Mission,Organization Name,Phone,Profile URL,Secondary Address,Secondary Contact,Status,Twitter,Website
,"400, av. Atlantic, bureau 101
MontrÃ©al, QC  H2V 1A5",,Audio-visuel et musique,http://www.facebook.com/wapikoni/,"English, French",,Canada-wide,"Adults, FNMI, Youth","Les courts mÃ©trages rÃ©alisÃ©s dans le cadre des ateliers de crÃ©ation cinÃ©matographie et musical dans les communautÃ©s autochtones du Canada sont diffusÃ©es chaque annÃ©e dans plus de 250 Ã©vÃ©nements Ã  travers le monde. 



Au Canada, le projet Wapikoni: le cinÃ©ma qui roule diffuse les courts mÃ©trages des rÃ©alisateurs.trices autochtones dans plusieurs centres urbains et communautÃ©s grÃ¢ce Ã  une unitÃ© mobile Ã©quipÃ©e de matÃ©riel de projection en plein air.



MontrÃ©al, le projet VÃ©lo Paradisco, qui comprend une flotte de cing vÃ©los-projecteurs, projette des courts mÃ©trages et vidÃ©oclip autochtones dans les espaces publics des arrondissements de la ville.",communication@wapikoni.ca,"Virginie Michel, Responsable des communications","GrÃ¢ce Ã  sa mobilitÃ© qui lui permet Â« d'aller vers Â» les communautÃ©s autochtones et sa mÃ©thodologie pratique Â« Apprendre en crÃ©ant Â» appliquÃ©e Ã  l'apprentissage du cinÃ©ma et de la musique, le Wapikoni dÃ©veloppe des compÃ©tences artistiques, techniques, sociales et professionnelles et contribue ainsi Ã  l'amÃ©lioration de la santÃ© globale des jeunes autochtones. Par la diffusion des oeuvres rÃ©alisÃ©es, il fait entendre la voix de la jeunesse autochtone et crÃ©e des ponts entre autochtones et non-autochtones.",Wapikoni mobile,(514) 276-9274,http://artbridges.ca/community/profile/250,,"Odile Eda-Pierre, Adjointe Ã  la direction",Non-profit,http://www.twitter.com/wapikoni,http://www.wapikoni.ca
,"202-268 Keefer Street
Vancouver, BC  V6A 1X5",,,https://www.facebook.com/WePressVancouver/,English,,British Columbia,"Adults, All Ages, Children, Dis/Abilities, FNMI, Seniors, Youth",Our collective experience working with wide demographics of oppressed and marginalized people has given us the skills needed to create this accessible space.,WePressVancouver@gmail.com,,"Our goal is to have the space become self-sustainable through retail sales, grassroots participation and social enterprise. The space will welcome diverse populations, including those marginalized by class, sexuality, gender, race, culture, disability, mental health, and addictions.",WePress,,http://artbridges.ca/community/profile/442,,,Artist Collective,https://twitter.com/WePress_YVR,http://www.wepress.ca
,"4916 49th Street
Yellowknife, NT  X1A 2P8",,"Film, Video, Digital Arts",http://www.facebook.com/westernarcticmovingpictures,"English, French",,"Northwest Territories, Based in Yellowknife with a mandate to deliver programs across the NWT","All Ages, Circumpolar Peoples: First Nations, Inuit, Metis of the Western Arctic",Yes,jeremy@wamp.ca,"Jeremy Emerson, Executive Director","We are a non-profit media arts organization based in the city of Yellowknife, NT. Canada. Our mission is to produce, support, showcase and promote film, video, and digital media throughout the Northwest Territories",Western Arctic Moving Pictures (WAMP),(867) 766-2586,http://artbridges.ca/community/profile/354,,"Program Director, Volunteer Coordinator","Annual Festival, Non-profit",,http://www.wamp.ca
,"614 2e Avenue
Verdun, QC  H4G 2W6",,"Dance, visual arts, music and multi-disciplinary arts",,"English, French",,"Quebec, MontrÃ©al","Adults, Youth","Currently When We Play is offering bilingual art programs in the Plateau, Mont-Royal area to youth ranging in ages from 5-13.



â",info@wwp-qoj.org,"Lorraine Elizabeth Campbell, President","Quand On Joue-When We Play (QOJ-WWP) is a non-profit incorporated organization that offers the opportunity for creative development in young people. Our goal is to reach youth, those at risk and others, across Canada, through arts education and community-based events that will bring diverse cultures and families together. 



The primary goal of QOJ-WWP is to work toward the development of musical aptitudes of youth, as music education is a fundamental building block of both artistic and academic development, which in turn fosters self-esteem and academic achievement.



In the long-term, this development will be fostered within multi-disciplinary artistic environments. Through group dynamics and methodologies, youth from diverse backgrounds will be encouraged to share their work with each other and with the public. By providing this type of universal artistic education, QOJ-WWP will contribute to the growth of Canadian talent in diverse communities across the country, all the while reinforcing the importance of equal opportunities.",When We Play-Quand On Joue,(438) 881-7511,http://artbridges.ca/community/profile/251,,,Non-profit,,http://www.wwp-qoj.org
,"122 Main Street East, P.O. Box 1491
North Bay, ON  P1B 8K6",,"Multi-disciplinary (visual arts, media arts, performance, literary)",,English,,"Ontario, North Bay","Adults, FNMI, Seniors, Youth, Artists","ANNUAL CALL FOR SUBMISSIONS


POSTMARKED Deadline: July 2nd each year.


The White Water Gallery accepts submissions year round. Submissions received by the postmarked deadline will be reviewed in late August/early September. This call is open to contemporary artists, collectives, performers, and curators working in any/all media who prioritize risk and innovation in the creation of their work.


All submissions must include:


- Artistâ",director@whitewatergallery.com,"Serena Kataoka, Administrative Director / Executive Director",White Water Gallery is a not-for-profit Artist-Run Centre committed to supporting artistic practices that prioritize risk and innovation. Understanding the need to advance the publicâ,White Water Gallery,(705) 476-2444,http://artbridges.ca/community/profile/252,,,Non-profit,,http://www.whitewatergallery.com
,"530 3rd Street North
Kenora, ON  P9N 2M3",,We provide opportunities for different forms of art. Art forms are utilized for a healing approach to dealing with all issues affecting women and their families.,http://www.facebook.com/pages/Womens-Place-Kenora,English,,"Ontario, Kenora","Adults, FNMI, Women",SWEETGRASS FILM FESTIVAL 2011 â,info@wpk.ca,"Colette Surovy, Executive Director",Womenâ,Women's Place Kenora / Sweetgrass Film Festival & Art Programs,(807) 468-9095,http://artbridges.ca/community/profile/253,,"Harmony Rice, Festival Producer","Annual Festival, Charity, Non-profit",,
,"2891 Isleville Street
Halifax, NS  B3K 3X6",,,https://www.facebook.com/Wonderneath,English,,Nova Scotia,All Ages,"-establishing open art studio opportunities for the community , as well as providing opportunities for temporary studio space for individual artists and projects 

- creating interactive and collaborative art projects 

-partnerships with schools to create arts engaged learning experiences 

-social enterprise opportunities with school  and community groups 

-many of our artists work as facilitators on a variety of community programs and projects including Placemaking projects, Team Possibles, and Phoenix, Community Gardens and Ovens.",wonderneath@gmail.com,"Heather Wilkinson /Melissa Marr, Coordinators","(in development):

   -To provide appropriate and affordable studio work space for contemporary visual artists within a safe and secure environment.

   - to increase community accessibility to arts programming and open artistic exploration, as well as supporting cross-pollination and collaboration amongst artists and with the larger community. 

   -To develop a studio that operates as both a resource and a partnership for artistic and creative growth in our community.",Wonder'neath,(902)454-6860,http://artbridges.ca/community/profile/302,,,"Business, Project, Resource, independent art studio with permanent and temporary workspaces, developing community access",https://twitter.com/wonderneath1,http://www.wonderneath.com
,"348 Mount Scio Rd.
St. John's, NL  A1B 4L6",,"Circus, Theatre, Dance",,English,,"Newfoundland, St. John's","Adults, Children, FNMI, Youth",,info@wonderbolt.ca,"Beni Malone, Artistic Director",To create original physical theatre. To share our skills with the community. â,Wonderbolt Productions,(709) 722-1344,http://artbridges.ca/community/profile/254,,,Non-profit,,http://wonderbolt.ca
,"184 Mohawk St., P.O. Box 1506
Brantford, ON  N3T 5V6",,"Contemporary First Nations art exhibitions, community arts workshops, concerts, and performances, Planet IndigenUS (largest multi-disciplinary contemporary world indigenous arts festival)",,English,,"Ontario, Brantford & Toronto","Adults, All Ages, Children, FNMI, Seniors, Youth, Six Nations, Wahta, Tyendinaga, Brantford and surrounding areas","First Nations Art: This annual arts exhibition has been at Woodland for close to forty years. Content for this show features First Nations artists from all across Turtle Island at every stage in their career. This exhibition has helped launch the artistic careers of many First Nations artists.

Planet IndigenUS: In partnership with Harbourfront Centre, Planet IndigenUS is the largest multidisciplinary, contemporary, international Indigenous arts festival in the world! Celebrate the future while honouring the rich cultural past. Planet IndigenUS 2012 at Woodland will feature such artists at Susan Aglukark, Charlie Hill, Don Burnstick, Benny Walker, Joel Johnson, Lisa Odjig, Ali Fontaine, and many, many more. Education Extension: Have a group that is interested in learning more about the culture and artistry of the Haudenosaunee people? The Education Extension officer will visit you on-site or host a workshop at Woodland, offering a variety of workshops based on your groups needs. For more details about the workshops offer visit: http://www.woodland-centre.on.ca/education-extension.

Arts Workshops: Woodland regularly hosts contemporary and traditional-based workshops. Past workshops have included; painting, photography, moccasin making, bead-work jewellery, and dance. Check on-line for upcoming events and activities.",museum@woodland-centre.on.ca,"Janis Monture, Executive Director/Artistic Director","The Woodland Cultural Centre is a First Nations educational and cultural centre. It was established in 1972 to protect, promote, interpret, and present the history, language, intellect and cultural heritage of the Anishinaabe and Onkwehon:we. This mandate is from our member Nations: Wahta Mohawks, Six Nations of the Grand River and the Mohawks of the Bay of Quinte.

The Woodland Cultural Centre will demonstrate the highest standards of excellence in the practice, presentation, interpretation and collection of resources in Education; Museology; Arts; Language and Cultural Heritage in order to foster an appreciation of the intellect and promote an accurate image of First Nations in Canada and abroad.",Woodland Cultural Centre,(519) 759-2650,http://artbridges.ca/community/profile/255,,"Naomi Johnson, Artistic Associate",Non-profit,,http://www.woodland-centre.on.ca
,"651 Dufferin Street
Toronto, ON  M6K 2B2",,all disciplines; artists with mental helath and/or addicitons experiences,https://www.facebook.com/workmanarts,English,,Ontario,"Adults, All Ages, Dis/Abilities, FNMI, Seniors, Youth, Artists with mental health and/or addictions experiences",â,lisa_brown@workmanarts.com,"Lisa Brown, Executive Director",â,Workman Arts,416 583 4339,http://artbridges.ca/community/profile/356,,"Scott Miller Berry, Managing Director","Annual Festival, Artist Collective, Artist-run Centre, Business, Charity, Non-profit, Program, Resource",https://www.twitter.com/WorkmanArtsTO,http://workmanarts.com
