Name,Mission,Country
"Denver Arts and Venues","Denver Arts & Venues is the city’s local art government agency that seeks to enrich the community of Denver through supporting public venues, the arts, and entertainment.  The agency is responsible for the operation of some of the Denver area’s most popular and important cultural venues, including Red Rocks Amphitheatre, the Denver Performing Arts Complex, Denver Coliseum, the Colorado Convention Center and McNichols Civic Center Building. In addition to this, the agency invests in creative industries, arts and cultural districts, a robust Public Art program, arts education, and cultural events such as the Five Points Jazz Festival and Youth One Book, One Denver. Recently, Denver Arts & Venues has been working to implement IMAGINE 2020, a cultural plan which is intended to guide the city’s artistic, cultural, creative, and engagement efforts. IMAGINE 2020 includes a diversity, equity, and inclusiveness (DEI) initiative which serves as a framework for the entirety of the plan’s and agency’s efforts. One of the highlights of this initiative is a collaboration with the Human Rights & Community Partnerships Commissions for a new funding program in partnership with the African American Commission, Latino Commission, American Indian Commission, Asian American Pacific Islander Commission, Commission for People with Disabilities, Women’s Commission, Commission on Aging, Immigrant & Refugee Commission, and LGBTQ Commission. Through this program, Denver Arts & Venues provides funding to each commission which then directs how the funding will be invested in the represented community. The only guideline is that the project must incorporate arts, culture or creativity, in whichever way the community defines this. This is an opportunity for historically marginalized communities to take the lead and for Denver Arts & Venues to rethink their approach to funding and grantmaking. The organization has been a member of Americans for the Arts for 28 years. As a host for the 2018 Americans for the Arts Conference in Denver, Denver Arts & Venues was able to amplify their important, locally-focused work and role as leaders in the arts. The convention also allowed Denver Arts & Venues to showcase its city and state, as well as the agency’s commitment to arts and culture through support of community art organizations, artists and creatives, and partnerships with other sectors that amplify the arts through community building and social justice. Over the course of its membership to Americans for the Arts, Denver Arts & Venues has utilized its benefits to connect and learn from colleagues and professionals across the globe. The organization also takes advantage of the professional development benefits, such as webinars, resources provided via the bookstore, and affinity groups. Denver Arts & Venues is committed to enhancing the city of Denver through its continued support of arts and entertainment accessible to all.","United States"

"Cuyahoga Arts & Culture","Ten years after Cuyahoga Arts & Culture (CAC) made its first grant, the public agency based in Cleveland, Ohio has invested $158 million in 350 arts and culture nonprofits and funded more than 160 individual artists in Northeast Ohio, making CAC the largest funder of arts and culture in the region. From the world-renowned Cleveland Orchestra and Rock and Roll Hall of Fame, to groups of neighbors coming together to build a community garden, Cuyahoga Arts & Culture supports the activities and organizations that connect community to arts and culture. CAC is a local arts agency, and believes that local arts agencies have a special place in our nation’s arts ecology as connectors: between institutions, artists, and residents. After the 30-cent-per-pack cigarette tax that funds CAC’s work was overwhelmingly renewed by voters in November 2015, the agency set out to better understand: how can it best support the creative life of all Cuyahoga County residents now, and for years to come? Since CAC stewards public dollars, the question of creating more equitable support for—and access to—arts and culture was central to this work. Community-wide listening was carried out through a convening of CAC-funded organizations, an online survey, street-level surveys completed by trained volunteers at 18 community events, and eight focus groups with 175 area residents. CAC knew it was important to capture voices that hadn’t been heard before, so its outreach happened at places such as downtown homeless shelters, public health centers, farmers’ markets in the suburbs, and community festivals, as well as at more mainstream arts events. The results culminated into the report, Cuyahoga Voices & Vision, which used data from Americans for the Arts sources to holistically analyze the results of the report. Our planning and listening led us to craft a vision that will guide our next ten years: all Cuyahoga County residents experience a meaningful cultural life.  And guided by that vision, and a set of values that includes equity, the agency will more deeply engage the community and explore ways to equitably support organizations and people who may have been left out of the process in the past. As a member of Americans for the Arts, CAC consistently leverages AFTA research, attends network-expanding conferences and workshops, and benefits from connections built within the AFTA community. With these resources, and a focus on more equitable grant making, CAC will continue to work to ensure all Cuyahoga County residents can connect to and see themselves in the region’s vibrant arts and cultural community.","United States"

"Arts at Large","As a Co-Founder of Arts @ Large, I have attended numerous Americans for the Arts conferences where my national network has grown. The opportunity to meet leaders in arts education from across the country provides current and valuable advice that has helped shape the way I approach my work. Arts @ Large also sends two of our staff members (young leaders) to Annual Convention every year!

Arts @ Large is honored to be a contributing member of Americans for the Arts. From the annual conferences, awards, and resources that bring attention to the importance of the arts both locally and nationally, Americans for the Arts continues to provide opportunities for our small staff to make a BIG difference.

In 2012, Arts @ Large was awarded Americans for the Arts Arts Education Award. This award has given Arts @ Large unprecedented credibility and as our programs grow in scope, locally and globally, Americans for the Arts is our go-to resource for best practices in the field.","United States"

"Leeann Wallett","My membership with Americans for the Arts has helped me see my potential as a leader in the arts marketing sector. It led me to pursue my lifelong dream to attend graduate school abroad, living and studying in Dallas, Montréal, Bogotá, and Milan. My experiences in this graduate program allowed me to learn from leaders in international cultural management, visit well-known cultural institutions and facilities, and pursue my career in arts marketing. The knowledge gained brought me to my current position and has set me on a course to a bright future as a lifelong member of Americans for the Arts.

In addition, the exhaustive network of resources—arts advocates, in-depth research, nationwide conventions—is invaluable to me and the communities I serve. As the Program Officer, Communications and Marketing for the Delaware Division of the Arts, I have the privilege of leading and coordinating our overall communication, marketing and advertising strategies. Working in the second smallest state has its benefits. I have the unique ability to travel through all three counties—New Castle, Kent, and Sussex—in approximately two hours, which allows me to visit arts organizations of all sizes, shapes, and artistic disciplines from the Grand Opera House to the Dover Art League to the Freeman Stage.

My membership has always been invaluable to me and my career. I am a proud member of Americans for the Arts and am excited by the ability to share the arts throughout Delaware and nationwide.","United States"

"Metro Arts Nashville: Creativity for All in Music City","The city of Nashville, Tennessee, is sometimes referred to as the Athens of the South, a thriving hub of arts and culture with a diverse population and a world-famous music scene. At the forefront of the city’s cultural blossoming is a longtime member of Americans for the Arts, the Metropolitan Nashville Arts Commission, or Metro Arts. Metro Arts has a vision for every Nashvillian to participate in a creative life, and with population growth of a quarter million predicted over the next two decades, the commission is looking ahead to prepare Nashville’s cultural scene for the future. They believe that the arts are the key to a vibrant community culture, a strong creative workforce, and the spread of equity & inclusion. Through community-driven projects, education and partnerships, Metro Arts is working to bring access to the arts to everyone in Nashville.

In 2015, Metro Arts partnered with the Nashville Area Chamber of Commerce to survey the arts & culture landscape and identify opportunities for cultural planning. The resulting report, Culture Here, details the broad extent of the city’s cultural impact on community and the local economy. More than 5,000 arts-related organizations and activities present their work in the Nashville area, and the music industry alone contributes more than $10 billion to the local economy. Metro Arts supports these organizations through projects like the THRIVE community arts funding program, Poetry in Motion, Artober Nashville, ExploreNashville-Art.com, and more. Additionally, it offers workshops, training and other resources for practicing artists. As part of its mission of a creative life for all, Metro Arts also invests in community arts with annual grants to local arts organizations. This year, the organization awarded more than $2 million in funding to support arts creation, access and education from local nonprofits.

Last year, Metro Arts also brought forward a new five-year strategic plan, Crafting a Creative City, which lays out new objectives for supporting Nashville’s creative life. Goals outlined in the report include increasing resources for the creative ecosystem, cultivating equity, and improving local creative infrastructure. This year, the commission is working to develop one key strategy in particular, a Public Art Community Investment Plan. The ten-month planning process is bringing together artists and community stakeholders for a conversation about the future of public art in Nashville. At least 44 public art works have been funded by the city’s Percent for Art fund, which allocates money for public art as a percentage of capital improvement projects.

To kick-start the creation of impactful public art projects, this year Metro Arts launched its inaugural Learning Lab training program for local artists. This professional development program is designed to train artists in civic, public, social, and placemaking practices, which will help develop community understanding and pave the way for neighborhood activation through the arts. Once the artists complete the program, they will be eligible for up to $5,000 in funding for temporary neighborhood art projects around the city. Twenty-five Nashville artists were selected to take part in the first Learning Lab, which will run from June through October, 2016. Through this unique program, Metro Arts is preparing a new cohort of artists to spread creativity throughout their communities, moving one step closer to a creative life for all.","United States"

