index,Dominant_Topic,Percent_Contribution,Important_Keywords,Mission
0,3.0,0.9592000246047974,"art, commun, space, stori, cultur, creativ, share, peopl, togeth, creat","our goal is to have the space become self-sustainable through retail sales, grassroots participation and social enterprise. the space will welcome diverse populations, including those marginalized by class, sexuality, gender, race, culture, disability, mental health, and addictions. our collective experience working with wide demographics of oppressed and marginalized people has given us the skills needed to create this accessible space."
1,0.0,0.5117999911308289,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","white water gallery is a not-for-profit artist-run centre committed to supporting artistic practices that prioritize risk and innovation. understanding the need to advance the public annual call for submissions


postmarked deadline: july 2nd each year.


the white water gallery accepts submissions year round. submissions received by the postmarked deadline will be reviewed in late august/early september. this call is open to contemporary artists, collectives, performers, and curators working in any/all media who prioritize risk and innovation in the creation of their work.


all submissions must include:


- artist"
2,0.0,0.36970001459121704,"art, commun, youth, artist, program, work, provid, develop, perform, peopl",women sweetgrass film festival 2011 
3,2.0,0.8109999895095825,"commun, art, artist, program, creativ, studio, children, provid, member, particip","(in development):

   -to provide appropriate and affordable studio work space for contemporary visual artists within a safe and secure environment.

   - to increase community accessibility to arts programming and open artistic exploration, as well as supporting cross-pollination and collaboration amongst artists and with the larger community. 

   -to develop a studio that operates as both a resource and a partnership for artistic and creative growth in our community. -establishing open art studio opportunities for the community , as well as providing opportunities for temporary studio space for individual artists and projects 

- creating interactive and collaborative art projects 

-partnerships with schools to create arts engaged learning experiences 

-social enterprise opportunities with school  and community groups 

-many of our artists work as facilitators on a variety of community programs and projects including placemaking projects, team possibles, and phoenix, community gardens and ovens."
4,0.0,0.8156999945640564,"art, commun, youth, artist, program, work, provid, develop, perform, peopl",to create original physical theatre. to share our skills with the community. 
5,1.0,0.9886999726295471,"commun, art, nation, cultur, indigen, danc, work, artist, first, workshop","the woodland cultural centre is a first nations educational and cultural centre. it was established in 1972 to protect, promote, interpret, and present the history, language, intellect and cultural heritage of the anishinaabe and onkwehon:we. this mandate is from our member nations: wahta mohawks, six nations of the grand river and the mohawks of the bay of quinte.

the woodland cultural centre will demonstrate the highest standards of excellence in the practice, presentation, interpretation and collection of resources in education; museology; arts; language and cultural heritage in order to foster an appreciation of the intellect and promote an accurate image of first nations in canada and abroad. first nations art: this annual arts exhibition has been at woodland for close to forty years. content for this show features first nations artists from all across turtle island at every stage in their career. this exhibition has helped launch the artistic careers of many first nations artists.

planet indigenus: in partnership with harbourfront centre, planet indigenus is the largest multidisciplinary, contemporary, international indigenous arts festival in the world! celebrate the future while honouring the rich cultural past. planet indigenus 2012 at woodland will feature such artists at susan aglukark, charlie hill, don burnstick, benny walker, joel johnson, lisa odjig, ali fontaine, and many, many more. education extension: have a group that is interested in learning more about the culture and artistry of the haudenosaunee people? the education extension officer will visit you on-site or host a workshop at woodland, offering a variety of workshops based on your groups needs. for more details about the workshops offer visit: http://www.woodland-centre.on.ca/education-extension.

arts workshops: woodland regularly hosts contemporary and traditional-based workshops. past workshops have included; painting, photography, moccasin making, bead-work jewellery, and dance. check on-line for upcoming events and activities."
6,0.0,0.5568000078201294,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","to provide an open and supportive environment that uses pottery to foster creative thinking, self reliance and entrepreneurship. pottery, wheel and hand-molding."
7,2.0,0.5737000107765198,"commun, art, artist, program, creativ, studio, children, provid, member, particip","the mandate of the 4cs foundation is to build connections between children and their communities through arts projects in the halifax regional municipality, nova scotia, canada. 1. grants for community arts and arts-based community development projects. these projects bring children and other community members together to collaborate side-by-side in creating an artwork/artworks. professional artists are a catalyst for the community in exploring possibilities of creating artwork that often reflects the stories, interests, issues or concerns of the &quot;community of participants/contributors&quot; in 4cs projects. in 4cs projects, the time spent creating together fosters lasting connections between the children and community members. the creation of these connections between children and others(which also strengthen the overall community) is the main goal of 4cs projects.<br />


<br />


2. the 4cs art bikers program - a community arts summer outreach program delivering free arts-based activities that open up a world of creativity, connection, and fun for children and other community members. the art bikers team are artists and artisans trained in community arts facilitation who ride bicycles pulling trailers full of artmaking materials to neighbourhoods and public areas throughout hrm to offer the program. the program runs from may to september each year.<br />


<br />


3. community capacity building through offering training workshops and by connecting and supporting individuals interested arts-based community development/ facilitating community arts projects and programs. we do this through arts engage! training and by hosting the community arts circle network."
8,3.0,0.9693999886512756,"art, commun, space, stori, cultur, creativ, share, peopl, togeth, creat","4elements living arts is a multidisciplinary, cross-cultural, non-profit arts organization on manitoulin island. we investigate and integrate relationships between landscape, creativity, and community, through research, arts creation, and community cultural and economic development. we are an ontario registered non-profit arts organization and became established in 2002 on manitoulin island. we facilitate and coordinate community art workshops and events island-wide. environmental arts, land art installations, curatorial art projects, and land art institute."
9,0.0,0.9757000207901001,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","7th generation image makers is a community arts program under the auspices of native child and family services of toronto. the program was founded in 1995 by local anishnawbek artist maria hupfield through the ncfst youth department. the program the program focuses on the cultural and artistic identity of the youth participants. the program provides art workshops facilitated by emerging and established by artists that include traditional crafts, sculpture, drawing, mural making and new media. the program aims to promote and amplify youth perspectives and visual presence around the city. the general model combines extensive arts programming within a drop-in studio environment, with additional outreach workshops in different venues. instagram @7thgenerationimagemakers

https://www.instagram.com/7thgenerationimagemakers"
10,0.0,0.7552000284194946,"art, commun, youth, artist, program, work, provid, develop, perform, peopl","the centre facilitates, presents and provides a nurturing space for projects, classes, workshops, exhibitions and performances that serve the artistic, creative, intellectual, professional and personal development of individuals and organizations in toronto. 918 bathurst is a multi-purpose arts center and events venue. gallery 918 is both a for-rent exhibition space as well as a gallery showcasing curated work selected to promote a variety of cultural initiatives from around our community, toronto and canada at large."
